,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,gem_url,brew_id,apt_id,github,github-id
54,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-03-05 17:41:24.000000,2026-03-05 17:41:23,2394.0,163.0,172.0,33.0,2543.0,48.0,366.0,4248.0,2026-02-04 09:23:48,0.51.0,55281.0,921.0,75.0,33.0,33.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
55,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],28,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-03-05 14:11:59.000000,2025-12-01 01:00:51,676.0,,70.0,37.0,233.0,5.0,87.0,370.0,2025-08-25 22:29:37,8.0.18,,311214.0,100.0,6188.0,6188.0,42.0,,,,,1.0,,,,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,311214.0,,,,,,,,,
56,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,27,False,justadudewhohacks/face-api.js,,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3827.0,347.0,113.0,452.0,393.0,17782.0,2020-03-22 14:01:55,0.22.2,,360983.0,38.0,,,25.0,,,,,3.0,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,360983.0,,,,,,,,,
57,hanko,https://github.com/teamhanko/hanko,idp,"Modern authentication, on your terms. Open source alternative to Auth0, Clerk, WorkOS, Stytch.",,,27,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2026-03-05 11:18:27.000000,2026-03-05 11:18:22,2470.0,115.0,1009.0,40.0,2003.0,31.0,385.0,8852.0,2026-03-03 08:17:35,backend/v2.5.0,1072.0,24.0,40.0,336.0,336.0,54.0,,,,,3.0,,,,,,,,,,,,,,,,
58,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,27,True,permitio/opal,permitio/opal-server,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2026-02-11 18:12:03.000000,2025-11-26 13:54:19,2068.0,,266.0,29.0,612.0,49.0,127.0,5432.0,2026-01-22 11:31:58,0.9.3,1910.0,7454.0,67.0,47.0,47.0,74.0,https://hub.docker.com/r/permitio/opal-server,2026-01-22 18:08:46.296112,1.0,452794.0,3.0,,,,,,,,,,,,,,,,
59,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,False,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,,184.0,25.0,1530.0,110.0,104.0,3494.0,2024-01-13 04:08:30,0.27.3,3856.0,22809.0,100.0,219.0,219.0,68.0,,,,,3.0,oso,https://pypi.org/project/oso,22746.0,,,,,,,,,,,,,
60,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],27,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2026-03-04 21:40:31.000000,2026-03-04 20:36:34,3694.0,76.0,294.0,49.0,2890.0,33.0,274.0,982.0,2026-03-03 16:23:42,1.12.35,,,100.0,375.0,375.0,103.0,,,,,2.0,,,,,,,,,,,,,,,,
61,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,26,True,permify/permify,ghcr.io/permify/permify,https://github.com/Permify/permify,AGPL-3.0,2022-07-14 11:16:57,2026-03-05 18:23:28.000000,2026-02-23 20:47:00,5673.0,181.0,287.0,23.0,2447.0,59.0,288.0,5826.0,2026-02-23 21:06:04,1.6.4,11194.0,399.0,100.0,4.0,4.0,74.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,3.0,,,,-1.0,,,,,,,,,,,,
62,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,26,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2026-03-02 17:53:58.000000,2026-02-23 18:05:41,7120.0,17.0,318.0,417.0,4722.0,109.0,448.0,1765.0,2024-06-11 16:44:34,1.8.2,64.0,0.0,31.0,47.0,47.0,158.0,,,,,3.0,,,,,,,,,,,,,,,,
63,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,26,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2026-02-11 23:35:11.000000,2026-02-11 23:33:40,571.0,10.0,181.0,33.0,147.0,,107.0,1031.0,2026-02-11 23:35:38,2.7.1,,3202567.0,37.0,,,32.0,,,,,2.0,webauthn,https://pypi.org/project/webauthn,3202567.0,,,,,,,,,,,,,
64,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,26,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2026-03-04 18:09:32.000000,2026-02-11 12:59:21,1942.0,29.0,132.0,22.0,868.0,68.0,393.0,527.0,2026-02-11 12:59:23,7.0.0,,,47.0,921.0,921.0,59.0,,,,,1.0,,,,,,,,,,,,,,,,
65,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],26,True,decentralized-identity/ethr-did-resolver,,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2026-02-23 23:05:12.000000,2026-02-02 01:38:27,559.0,9.0,76.0,26.0,158.0,6.0,48.0,230.0,2025-08-10 14:02:43,11.0.5,,23141.0,71.0,1902.0,1902.0,28.0,,,,,1.0,,,,-1.0,ethr-did-resolver,https://www.npmjs.com/package/ethr-did-resolver,23141.0,,,,,,,,,
66,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],26,True,decentralized-identity/did-jwt-vc,,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2026-03-01 13:28:13.000000,2025-11-20 16:45:53,405.0,,44.0,19.0,103.0,4.0,49.0,207.0,2025-08-26 05:57:14,4.0.16,,63381.0,70.0,1367.0,1367.0,22.0,,,,,1.0,,,,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,63381.0,,,,,,,,,
67,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache-2.0 is free IAM-..",,,25,True,dromara/MaxKey,maxkeytop/maxkey,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2026-02-24 02:35:39.000000,2026-02-24 02:35:26,2743.0,50.0,387.0,30.0,124.0,2.0,132.0,1853.0,2026-02-02 00:59:44,4.1.11,,375.0,72.0,,,60.0,https://hub.docker.com/r/maxkeytop/maxkey,2026-02-01 06:50:25.105245,5.0,42043.0,3.0,,,,,,,,,,,,,,,,
68,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,25,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2026-03-04 17:22:04.000000,2026-03-04 17:21:59,8165.0,267.0,391.0,37.0,1531.0,,322.0,1596.0,2026-02-18 15:25:01,bff-4.1.1,,,100.0,,,340.0,,,,,2.0,,,,,,,,DuendeSoftware/products,,,,,,,,
69,authgear,https://github.com/authgear/authgear-server,idp,"Open source Auth0/Clerk/Firebase alternative. Passkeys, SSO, MFA, passwordless, biometric login. Self-hosted or cloud...",,,25,True,authgear/authgear-server,,https://github.com/authgear/authgear-server,Apache-2.0,2020-06-16 03:34:34,2026-03-05 10:34:51.000000,2026-03-02 11:33:09,23228.0,335.0,100.0,8.0,3156.0,352.0,1941.0,1448.0,2026-02-04 13:03:42,authgear-once/1.2.0,670.0,12.0,70.0,9.0,9.0,49.0,,,,,3.0,,,,,,,,,,,,,,,,
70,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2026-03-04 17:27:32.000000,2026-03-03 18:28:50,10448.0,145.0,499.0,23.0,2640.0,152.0,1285.0,482.0,2026-03-02 22:41:29,1.3-lts,,,100.0,,,166.0,,,,,1.0,,,,-1.0,,,,openwallet-foundation/acapy,,,,,,,,
71,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,24,False,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,830.0,68.0,131.0,531.0,786.0,19056.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,225735.0,3135.0,2.0,21.0,21.0,22.0,,,,,3.0,,,,,,,,,,,,,,,,
72,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,registry.supertokens.io/supertokens/supertokens-postgresql,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2026-03-03 12:56:01.000000,2026-02-13 16:19:36,1407.0,53.0,640.0,67.0,672.0,131.0,403.0,14952.0,2026-02-23 15:55:18,9.2.5,,,100.0,,,34.0,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,3.0,,,,,,,,,,,,,,,,
73,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,freeipa/freeipa-server,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2026-03-05 05:59:03.000000,2026-03-05 05:58:34,16418.0,76.0,362.0,48.0,8218.0,,,1372.0,,,,38149.0,,,,252.0,https://hub.docker.com/r/freeipa/freeipa-server,2026-03-04 05:59:40.988270,180.0,6332845.0,3.0,,,,,,,,,,,,,,,,
74,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,24,True,decentralized-identity/universal-resolver,universalresolver/uni-resolver-web,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2026-03-05 19:17:16.000000,2026-03-03 08:26:06,2064.0,43.0,273.0,55.0,408.0,35.0,90.0,634.0,2022-01-07 16:42:38,0.5.0,,1457.0,6.0,,,131.0,https://hub.docker.com/r/universalresolver/uni-resolver-web,2026-03-03 08:45:10.167641,,150093.0,2.0,,,,1.0,,,,,,,,,,,,
75,iota-identity,https://github.com/iotaledger/identity,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity,Apache-2.0,2020-02-06 14:33:11,2026-03-03 15:35:04.000000,2026-03-03 15:34:19,1741.0,26.0,98.0,25.0,1325.0,88.0,350.0,342.0,2026-03-03 15:36:04,1.9.2-beta.1,,,59.0,156.0,156.0,44.0,,,,,1.0,,,,,,,,iotaledger/identity,,,,,,,,
76,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],24,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2026-03-04 20:11:49.000000,2026-03-04 20:10:04,2172.0,49.0,175.0,24.0,1474.0,21.0,285.0,191.0,2026-02-19 20:53:42,2.12.8,,,56.0,7.0,7.0,65.0,,,,,1.0,,,,,,,,openwallet-foundation/bifold-wallet,,,,,,,,
77,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],24,False,inrupt/solid-client-authn-js,,https://github.com/inrupt/solid-client-authn-js,MIT,2019-11-21 00:49:46,2026-03-05 05:54:00.000000,2026-02-13 14:21:21,3153.0,43.0,40.0,11.0,4056.0,57.0,104.0,77.0,2025-10-30 14:51:08,3.1.1,,,38.0,993.0,993.0,27.0,,,,,3.0,,,,,inrupt/solid-client-authn-node,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,,,,,,,
78,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,"Passkeys, FIDO2 and WebAuhtn .NET library.",,,23,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2025-12-11 18:50:40.000000,2025-12-11 18:50:38,684.0,5.0,194.0,41.0,342.0,33.0,248.0,1408.0,2025-08-29 13:12:19,4.0.0,,,21.0,369.0,369.0,51.0,,,,,3.0,,,,-1.0,,,,,,,,,,,,
79,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,23,True,cyberark/conjur,cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-11-20 20:24:22.000000,2025-11-10 16:00:50,4111.0,,143.0,47.0,1907.0,137.0,973.0,942.0,2025-11-20 20:24:03,1.24.0,1668.0,65067.0,83.0,,,115.0,https://hub.docker.com/r/cyberark/conjur,2025-11-10 16:58:40.255868,29.0,7611014.0,3.0,,,,,,,,,,,,,,,,
80,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,23,True,passwordless-id/webauthn,,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2026-02-28 16:05:47.000000,2026-02-15 16:52:31,304.0,16.0,57.0,7.0,40.0,1.0,63.0,587.0,2026-02-15 16:48:57,2.3.5,,,42.0,5515.0,5515.0,20.0,,,,,3.0,,,,,passwordless-id/webauthn,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,,
81,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2026-03-05 15:45:06.000000,2026-03-05 15:45:06,14830.0,100.0,152.0,14.0,2269.0,102.0,2924.0,480.0,2023-06-16 12:51:58,11.4.3,9962.0,99.0,55.0,,,97.0,,,,,3.0,,,,,,,,,,,,,,,,
82,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2026-03-05 16:12:37.000000,2026-03-05 16:09:52,1357.0,56.0,227.0,26.0,1746.0,237.0,650.0,338.0,2026-02-04 10:03:06,0.6.2,,,100.0,,,88.0,,,,,2.0,,,,,,,,,,,,,,,,
83,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,23,True,walt-id/waltid-identity,waltid/identity,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2026-03-05 12:57:58.000000,2026-03-03 18:29:16,12346.0,646.0,107.0,5.0,1274.0,4.0,299.0,258.0,2026-01-22 16:02:05,0.17.1,,,100.0,,,43.0,https://hub.docker.com/r/waltid/identity,,,,2.0,,,,,,,,,,,,,,,,
84,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],23,False,decentralized-identity/web-did-resolver,,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2026-03-02 08:49:53.000000,2026-03-02 01:06:19,372.0,15.0,20.0,12.0,126.0,1.0,11.0,98.0,2025-12-03 20:47:02,2.0.32,,42077.0,43.0,1433.0,1433.0,12.0,,,,,2.0,,,,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,42077.0,,,,,,,,,
85,hyperledger-anoncreds-rs,https://github.com/anoncreds/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/anoncreds/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2026-01-07 14:36:37.000000,2026-01-07 14:36:37,835.0,3.0,57.0,12.0,249.0,29.0,91.0,85.0,2025-11-13 16:53:54,0.2.3,368797.0,9705.0,33.0,74.0,74.0,28.0,,,,,2.0,,,,,,,,anoncreds/anoncreds-rs,,,,,,,,
86,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,22,False,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,1135.0,448.0,25.0,1.0,143.0,30592.0,2023-01-21 09:26:53,TINA_SHIFT,1607406.0,28200.0,35.0,,,11.0,,,,,3.0,,,,,,,,,,,,,,,,
87,gotrue,https://github.com/netlify/gotrue,idp,An JWT based API for managing users and issuing JWT tokens.,,,22,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2026-02-27 14:38:49.000000,2026-02-24 09:32:49,660.0,17.0,320.0,55.0,262.0,7.0,137.0,4328.0,2022-02-09 12:50:28,1.0.1,,,2.0,11.0,11.0,47.0,,,,,3.0,,,,,,,,,,,,,,,,
88,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2026-01-09 17:26:39.000000,2025-11-14 16:30:51,4083.0,,782.0,237.0,367.0,64.0,210.0,2904.0,2015-09-29 22:50:55,1.1.0,126854.0,857.0,4.0,,,60.0,,,,,3.0,,,,,,,,,,,,,,,,
89,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],22,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2026-02-27 23:09:32.000000,2026-02-25 19:39:36,2784.0,19.0,249.0,186.0,1000.0,71.0,1246.0,1369.0,2018-03-20 13:11:25,CR-00-20180320,,,7.0,,,82.0,,,,,1.0,,,,,,,,,,,,,,,,
90,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2026-02-27 01:47:23.000000,2026-02-27 01:46:40,15305.0,37.0,680.0,106.0,19.0,,,709.0,,,,,,190.0,190.0,760.0,,,,,3.0,,,,,,,,,,,,,,,,
91,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-07-29 10:07:27.000000,2025-06-22 10:19:45,592.0,,361.0,70.0,172.0,301.0,612.0,7378.0,2020-09-02 15:57:23,2.6.1,30815.0,317.0,11.0,,,69.0,,,,,3.0,,,,,,,,,,,,,,howdy,,
92,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],21,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2026-02-23 22:47:46.000000,2026-02-02 01:58:20,418.0,2.0,42.0,21.0,132.0,4.0,18.0,230.0,2023-03-08 14:05:37,4.1.0,,,24.0,7821.0,7821.0,25.0,,,,,2.0,,,,,,,,,,,,,,,,
93,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Privado ID.,,,21,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2026-03-04 17:06:02.000000,2026-03-04 17:05:39,702.0,88.0,40.0,4.0,353.0,6.0,39.0,71.0,2026-03-04 17:06:02,1.42.1,,,100.0,270.0,270.0,19.0,,,,,2.0,,,,,,,,,,,,,,,,
94,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4681.0,550.0,123.0,511.0,619.0,14310.0,,,,,,,,36.0,,,,,3.0,,,,,,,,,,,,,,,,
95,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,20,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2026-03-05 14:32:29.000000,2026-03-04 15:32:22,2832.0,115.0,88.0,20.0,1039.0,9.0,149.0,567.0,2026-03-01 17:21:47,0.31.1.RELEASE,,,87.0,,,37.0,,,,,3.0,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,
96,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,False,TBD54566975/dwn-sdk-js,,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,99.0,18.0,546.0,42.0,238.0,323.0,2024-10-23 19:02:40,0.5.2,,,62.0,492.0,492.0,48.0,,,,,2.0,,,,,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,decentralized-identity/dwn-sdk-js,,,,,,,,
97,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,157.0,17.0,2046.0,388.0,1196.0,239.0,2023-05-09 10:57:15,0.3.2,,,14.0,3.0,3.0,62.0,,,,,2.0,,,,,,,,hyperledger-aries/aries-framework-go,,,,,,,,
98,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,20,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2026-03-04 20:26:09.000000,2026-03-04 20:26:09,3648.0,478.0,68.0,11.0,936.0,184.0,146.0,76.0,,,,,1.0,69.0,69.0,39.0,,,,,2.0,,,,,,,,,,,,,,,,
99,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2025-05-01 17:30:05.000000,2025-05-01 17:30:05,152.0,,306.0,92.0,43.0,28.0,24.0,3074.0,,,,2784.0,,1.0,1.0,27.0,,,,,3.0,pyja3,https://pypi.org/project/pyja3,2784.0,,,,,,,,,,,,,
100,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2025-09-29 23:07:10.000000,2025-04-22 20:11:48,414.0,,784.0,94.0,362.0,181.0,368.0,1984.0,2025-04-23 13:34:24,2.0.0,,,33.0,,,52.0,,,,,3.0,,,,,,,,,,,,,,,,
101,indy-node,https://github.com/hyperledger-indy/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],19,False,hyperledger/indy-node,,https://github.com/hyperledger-indy/indy-node,Apache-2.0,2016-12-21 05:45:04,2025-12-01 15:07:14.000000,2025-02-24 16:33:21,4946.0,,647.0,61.0,1834.0,39.0,60.0,701.0,2024-02-09 14:17:29,1.13.2,2126.0,26.0,37.0,,,111.0,,,,,2.0,,,,,,,,hyperledger-indy/indy-node,,,,,,,,
102,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,19,False,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,,128.0,26.0,363.0,57.0,77.0,256.0,2025-02-10 16:01:17,8.5.1,,,51.0,42.0,42.0,57.0,,,,,3.0,,,,,,,,,,,,,,,,
103,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,19,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2026-02-13 16:36:57.000000,2026-02-13 16:35:41,645.0,8.0,73.0,34.0,470.0,96.0,122.0,251.0,,,,,,212.0,212.0,31.0,,,,,2.0,,,,,,,,,,,,,,,,
104,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],18,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2026-01-14 15:14:54.000000,2026-01-14 15:14:54,1326.0,1.0,308.0,86.0,544.0,31.0,182.0,3303.0,2021-06-23 10:02:43,ctap2.0,,,1.0,,,24.0,,,,,3.0,,,,,,,,,,,,,,,,
105,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],18,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2025-03-10 20:57:13.000000,2025-03-10 20:57:13,343.0,,940.0,243.0,260.0,215.0,555.0,3202.0,,,,,,,,49.0,,,,,3.0,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,,
